id_commune;commune_gironde;;kilometrage_bordeaux;frais_livraison_euros;;
143;Escaudes;Escaudes;88;56,92;('Escaudes', 88, 56.92),;('Escaudes', 88, 56.92),
144;Escoussans;Escoussans;50;34,5;('Escoussans', 50, 34.5),;('Escoussans', 50, 34.5),
145;Espiet;Espiet;31;23,29;('Espiet', 31, 23.29),;('Espiet', 31, 23.29),
146;Étauliers;Étauliers;61;40,99;('Étauliers', 61, 40.99),;('Étauliers', 61, 40.99),
147;Eynesse;Eynesse;73;48,07;('Eynesse', 73, 48.07),;('Eynesse', 73, 48.07),
148;Eyrans;Eyrans;54;36,86;('Eyrans', 54, 36.86),;('Eyrans', 54, 36.86),
149;Eysines;Eysines;8;9,72;('Eysines', 8, 9.72),;('Eysines', 8, 9.72),
150;Faleyras;Faleyras;38;27,42;('Faleyras', 38, 27.42),;('Faleyras', 38, 27.42),
151;Fargues;Fargues;52;35,68;('Fargues', 52, 35.68),;('Fargues', 52, 35.68),
152;Fargues-Saint-Hilaire;Fargues-Saint-Hilaire;15;13,85;('Fargues-Saint-Hilaire', 15, 13.85),;('Fargues-Saint-Hilaire', 15, 13.85),
153;Flaujagues;Flaujagues;61;40,99;('Flaujagues', 61, 40.99),;('Flaujagues', 61, 40.99),
154;Floirac;Floirac;7;9,13;('Floirac', 7, 9.13),;('Floirac', 7, 9.13),
155;Floudès;Floudès;77;50,43;('Floudès', 77, 50.43),;('Floudès', 77, 50.43),
156;Fontet;Fontet;73;48,07;('Fontet', 73, 48.07),;('Fontet', 73, 48.07),
157;Fossès-et-Baleyssac;Fossès-et-Baleyssac;83;53,97;('Fossès-et-Baleyssac', 83, 53.97),;('Fossès-et-Baleyssac', 83, 53.97),
158;Fours;Fours;54;36,86;('Fours', 54, 36.86),;('Fours', 54, 36.86),
159;Francs;Francs;62;41,58;('Francs', 62, 41.58),;('Francs', 62, 41.58),
160;Fronsac;Fronsac;40;28,6;('Fronsac', 40, 28.6),;('Fronsac', 40, 28.6),
161;Frontenac;Frontenac;45;31,55;('Frontenac', 45, 31.55),;('Frontenac', 45, 31.55),
162;Gabarnac;Gabarnac;50;34,5;('Gabarnac', 50, 34.5),;('Gabarnac', 50, 34.5),
163;Gaillan-en-Médoc;Gaillan-en-Médoc;67;44,53;('Gaillan-en-Médoc', 67, 44.53),;('Gaillan-en-Médoc', 67, 44.53),
164;Gajac;Gajac;69;45,71;('Gajac', 69, 45.71),;('Gajac', 69, 45.71),
165;Galgon;Galgon;40;28,6;('Galgon', 40, 28.6),;('Galgon', 40, 28.6),
166;Gans;Gans;65;43,35;('Gans', 65, 43.35),;('Gans', 65, 43.35),
167;Gardegan-et-Tourtirac;Gardegan-et-Tourtirac;60;40,4;('Gardegan-et-Tourtirac', 60, 40.4),;('Gardegan-et-Tourtirac', 60, 40.4),
168;Gauriac;Gauriac;45;31,55;('Gauriac', 45, 31.55),;('Gauriac', 45, 31.55),
169;Gauriaguet;Gauriaguet;32;23,88;('Gauriaguet', 32, 23.88),;('Gauriaguet', 32, 23.88),
170;Générac;Générac;56;38,04;('Générac', 56, 38.04),;('Générac', 56, 38.04),
171;Génissac;Génissac;35;25,65;('Génissac', 35, 25.65),;('Génissac', 35, 25.65),
172;Gensac;Gensac;68;45,12;('Gensac', 68, 45.12),;('Gensac', 68, 45.12),
173;Gironde-sur-Dropt;Gironde-sur-Dropt;63;42,17;('Gironde-sur-Dropt', 63, 42.17),;('Gironde-sur-Dropt', 63, 42.17),
174;Giscos;Giscos;89;57,51;('Giscos', 89, 57.51),;('Giscos', 89, 57.51),
175;Gornac;Gornac;56;38,04;('Gornac', 56, 38.04),;('Gornac', 56, 38.04),
176;Goualade;Goualade;83;53,97;('Goualade', 83, 53.97),;('Goualade', 83, 53.97),
177;Gours;Gours;69;45,71;('Gours', 69, 45.71),;('Gours', 69, 45.71),
178;Gradignan;Gradignan;10;10,9;('Gradignan', 10, 10.9),;('Gradignan', 10, 10.9),
179;Grayan-et-l'Hôpital;Grayan-et-l'Hôpital;85;55,15;('Grayan-et-l'Hôpital', 85, 55.15),;('Grayan-et-l''Hôpital', 85, 55.15),
180;Grézillac;Grézillac;42;29,78;('Grézillac', 42, 29.78),;('Grézillac', 42, 29.78),
181;Grignols;Grignols;75;49,25;('Grignols', 75, 49.25),;('Grignols', 75, 49.25),
182;Guillac;Guillac;35;25,65;('Guillac', 35, 25.65),;('Guillac', 35, 25.65),
183;Guillos;Guillos;42;29,78;('Guillos', 42, 29.78),;('Guillos', 42, 29.78),
184;Guîtres;Guîtres;54;36,86;('Guîtres', 54, 36.86),;('Guîtres', 54, 36.86),
185;Gujan-Mestras;Gujan-Mestras;56;38,04;('Gujan-Mestras', 56, 38.04),;('Gujan-Mestras', 56, 38.04),
186;Haux;Haux;27;20,93;('Haux', 27, 20.93),;('Haux', 27, 20.93),
187;Hostens;Hostens;49;33,91;('Hostens', 49, 33.91),;('Hostens', 49, 33.91),
188;Hourtin;Hourtin;61;40,99;('Hourtin', 61, 40.99),;('Hourtin', 61, 40.99),
189;Hure;Hure;74;48,66;('Hure', 74, 48.66),;('Hure', 74, 48.66),
190;Illats;Illats;39;28,01;('Illats', 39, 28.01),;('Illats', 39, 28.01),
191;Isle-Saint-Georges;Isle-Saint-Georges;24;19,16;('Isle-Saint-Georges', 24, 19.16),;('Isle-Saint-Georges', 24, 19.16),
192;Izon;Izon;26;20,34;('Izon', 26, 20.34),;('Izon', 26, 20.34),
193;Jau-Dignac-et-Loirac;Jau-Dignac-et-Loirac;81;52,79;('Jau-Dignac-et-Loirac', 81, 52.79),;('Jau-Dignac-et-Loirac', 81, 52.79),
194;Jugazan;Jugazan;40;28,6;('Jugazan', 40, 28.6),;('Jugazan', 40, 28.6),
195;Juillac;Juillac;64;42,76;('Juillac', 64, 42.76),;('Juillac', 64, 42.76),
196;La Brède;La Brède;25;19,75;('La Brède', 25, 19.75),;('La Brède', 25, 19.75),
197;La Lande-de-Fronsac;La Lande-de-Fronsac;29;22,11;('La Lande-de-Fronsac', 29, 22.11),;('La Lande-de-Fronsac', 29, 22.11),
198;La Réole;La Réole;78;51,02;('La Réole', 78, 51.02),;('La Réole', 78, 51.02),
199;La Rivière;La Rivière;36;26,24;('La Rivière', 36, 26.24),;('La Rivière', 36, 26.24),
200;La Roquille;La Roquille;80;52,2;('La Roquille', 80, 52.2),;('La Roquille', 80, 52.2),
201;La Sauve;La Sauve;29;22,11;('La Sauve', 29, 22.11),;('La Sauve', 29, 22.11),
202;La Teste-de-Buch;La Teste-de-Buch;60;40,4;('La Teste-de-Buch', 60, 40.4),;('La Teste-de-Buch', 60, 40.4),
203;Labarde;Labarde;27;20,93;('Labarde', 27, 20.93),;('Labarde', 27, 20.93),
204;Labescau;Labescau;59;39,81;('Labescau', 59, 39.81),;('Labescau', 59, 39.81),
205;Lacanau;Lacanau;56;38,04;('Lacanau', 56, 38.04),;('Lacanau', 56, 38.04),
206;Ladaux;Ladaux;41;29,19;('Ladaux', 41, 29.19),;('Ladaux', 41, 29.19),
207;Lados;Lados;54;36,86;('Lados', 54, 36.86),;('Lados', 54, 36.86),
208;Lagorce;Lagorce;54;36,86;('Lagorce', 54, 36.86),;('Lagorce', 54, 36.86),
209;Lalande-de-Pomerol   ;Lalande-de-Pomerol;39;28,01;('Lalande-de-Pomerol   ', 39, 28.01),;('Lalande-de-Pomerol', 39, 28.01),
210;Lamarque;Lamarque;36;26,24;('Lamarque', 36, 26.24),;('Lamarque', 36, 26.24),
211;Lamothe-Landerron  ;Lamothe-Landerron;79;51,61;('Lamothe-Landerron  ', 79, 51.61),;('Lamothe-Landerron', 79, 51.61),
212;Landerrouat;Landerrouat;70;46,3;('Landerrouat', 70, 46.3),;('Landerrouat', 70, 46.3),
213;Landerrouet-sur-Ségur   ;Landerrouet-sur-Ségur;60;40,4;('Landerrouet-sur-Ségur   ', 60, 40.4),;('Landerrouet-sur-Ségur', 60, 40.4),
214;Landiras;Landiras;42;29,78;('Landiras', 42, 29.78),;('Landiras', 42, 29.78),
215;Langoiran;Langoiran;24;19,16;('Langoiran', 24, 19.16),;('Langoiran', 24, 19.16),
